year,RegionName,population,median_value,gross_rent_total,median_income
2016,Birmingham AL,1150518.2571428576,148417.14285714293,808.1428571428576,50393.82857142859
2017,Birmingham AL,1149673.9142857147,152114.2857142858,829.8857142857147,52091.85714285716
2018,Birmingham AL,1130408.8571428575,157597.14285714293,859.3428571428576,54421.028571428586
2019,Birmingham AL,1092723.0857142857,164865.71428571435,896.5142857142864,57381.34285714287
2020,Birmingham AL,1036616.5999999996,173920.00000000003,941.400000000001,60972.799999999996
2021,Birmingham AL,962089.3999999989,184760.00000000003,994.0000000000014,65195.39999999998
2022,Birmingham AL,869141.4857142838,197385.7142857143,1054.3142857142875,70049.14285714281
2015,Bismarck ND,123056.5714285715,185488.57142857133,744.1428571428578,63874.314285714296
2016,Bismarck ND,126957.31428571435,206005.71428571423,779.4285714285718,64854.742857142875
2017,Bismarck ND,129079.62857142865,223351.42857142852,811.8571428571431,66426.88571428573
2018,Bismarck ND,129423.51428571434,237525.71428571423,841.4285714285718,68590.74285714286
2019,Bismarck ND,127988.97142857146,248528.5714285713,868.1428571428576,71346.31428571428
2020,Bismarck ND,124776.0,256359.99999999983,892.0000000000008,74693.59999999998
2021,Bismarck ND,119784.59999999995,261019.9999999997,913.0000000000011,78632.59999999995
2022,Bismarck ND,113014.77142857132,262508.571428571,931.1428571428588,83163.3142857142
2015,Bloomington IL,188112.97142857139,155560.0,771.9142857142857,61636.371428571445
2016,Bloomington IL,191873.3142857143,156420.0,785.7428571428571,62090.114285714306
2017,Bloomington IL,190849.2285714286,158580.00000000003,802.2857142857144,63219.428571428594
2018,Bloomington IL,185040.7142857143,162040.00000000003,821.5428571428574,65024.31428571431
2019,Bloomington IL,174447.77142857137,166800.00000000006,843.5142857142863,67504.77142857145
2020,Bloomington IL,159070.39999999985,172860.00000000006,868.200000000001,70660.80000000002
2021,Bloomington IL,138908.59999999974,180220.0000000001,895.6000000000013,74492.40000000001
2022,Bloomington IL,113962.371428571,188880.00000000012,925.7142857142874,78999.57142857142
2015,Bloomington IN,163564.28571428577,152385.71428571432,824.4857142857147,42658.80000000002
2016,Bloomington IN,164416.4571428572,152897.1428571429,839.8571428571431,44092.600000000006
2017,Bloomington IN,165323.91428571433,155394.28571428577,858.514285714286,45749.40000000001
2018,Bloomington IN,166286.6571428572,159877.1428571429,880.4571428571433,47629.200000000004
2019,Bloomington IN,167304.6857142858,166345.71428571435,905.685714285715,49732.00000000001
2020,Bloomington IN,168378.0000000001,174800.00000000006,934.2000000000013,52057.80000000002
2021,Bloomington IN,169506.6000000001,185240.0000000001,966.000000000002,54606.60000000002
2022,Bloomington IN,170690.48571428584,197665.71428571438,1001.0857142857172,57378.40000000003
